Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL,
1,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Beihai yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856030,
2,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Charybdis yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856031,
3,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Hubei yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856032,
4,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Sanxia yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856033,
5,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Shahe yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856034,
6,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Wenzhou yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856035,
7,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Wuhan yingvirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856036,
8,Riboviria,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Xinzhou yingvirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201856037,
9,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Blueberry mosaic associated ophiovirus,0,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853946,
10,Riboviria,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Citrus psorosis ophiovirus,1,ssRNA(-),"Moved,",34,2017.006G.A.v3.Riboviria.zip,ICTVonline=201853947,
