id,origin,name,match
10791895056452722279,Genbank,Homo sapiens,15236718730631297288
11351478285051468380,Genbank,Felis catus,17500025009072997685
1196861150033133769,Genbank,Rhinolophus sinicus,2384228911762742106
10517553063779575596,Genbank,cat,
9384610005137310484,Genbank,Rhinilophus ferrumequinum,8101532835283624427
10548403169763251908,Genbank,Aselliscus stoliczkanus,9323804083409474753
66161510650469422,Genbank,Canis lupus familiaris (domestic dog),15616981127742367296
17881988839917517435,Genbank,Canis lupus familiaris,15616981127742367296
11470326218395726210,Genbank,Mus musculus; old,13920813138170975403
2222875626956359358,Genbank,Mus musculus; young,13920813138170975403
6978046816516454220,Genbank,dog,
11775254867315955994,Genbank,feline,
2154266179672201621,Genbank,Chlorocebus aethiops,4338476777822611425
15259722561061996598,Genbank,Mustela vison,316342739647845479
8224637236233569881,Genbank,Homo sapiens; patient #2 with severe acute,17021704621061890107
10967227817000359737,Genbank,Rhinolophus Ferrumequinum,10939010728851727489
17544826519159371085,Genbank,Vicugna pacos,9239015377418233531
17731600504500556303,Genbank,turkey,
2089991696733406365,Genbank,Gallus gallus,762625969328012558
9462117610843049059,Genbank,Oryctolagus cuniculus,13613922430844779827
7762636033745519021,Genbank,Hydropotes inermis (water deer),760859451938248213
7455492031054271359,Genbank,Hipposideros abae,4640020821290331425
8302982536429581987,Genbank,duck,
12040856278879885595,Genbank,Rhinolophus ferrumequinum,17346623571520827674
8313802092681479937,Genbank,civet,
8921994573558548502,Genbank,Branta canadensis,2732473171831956755
18141790410328476712,Genbank,Delphinapterus leucas (beluga whale),427673642480100683
16508470442376581817,Genbank,chicken,
661417235275731221,Genbank,Bos taurus,13825874037995322423
13070306780319620652,Genbank,antelope,
16518521771303340711,Genbank,pig,
309991969932393793,Genbank,Homo sapiens; sex: F; age: 12Y,15236718730631297288
13998655150496972625,Genbank,Homo sapiens; sex: F; age: 8Y,15236718730631297288
11166960481598946781,Genbank,Homo sapiens; sex: M; age: 4Y,15236718730631297288
10803779819936097342,Genbank,Mus musculus,13920813138170975403
10589275464665481558,Genbank,Neoromicia capensis,14783415585967148970
5627846293012802537,Genbank,Rhinolophus affinis,13423616906585988646
9679124818211598182,Genbank,bovine,
2960655859282889594,Genbank,Rhinolophus macrotis,3863833269523468172
6782546697627077160,Genbank,Homo sapiens; bovine,15236718730631297288
8324866235573241674,Genbank,palm civet,
3122002298211235692,Genbank,bat,
7563370556609645086,Genbank,dromedary,
15166959897383101461,Genbank,Camelus dromedarius,2450857368294566252
9885108265555330102,Genbank,camel,
9291082689510287275,Genbank,Myotis lucifugus (little brown bat),15987056123262305162
12767243224327755418,Genbank,ferret,
18165424000606345567,Genbank,Chaerephon plicata,15589125196255216866
18072244837238960985,Genbank,Rhinolophus pusillus,9845291818054307514
11428744281882261625,Genbank,Equus caballus adult,10829538496678631029
5120661031494515380,Genbank,giraffe,
8873862842241486080,Genbank,dromedary camel,
10513639219698918017,Genbank,Hipposideros cf. ruber,2082560565776057915
16394118150917576341,Genbank,rat,
18364038517948474039,Genbank,Myotis lucifugus,1423676375323014939
12865336786082727466,Genbank,Camel,
10984652295653496626,Genbank,sambar deer,
3848941038609519537,Genbank,waterbuck,
7060263662219533892,Genbank,Homo sapiens; sex: F; age: 59Y,15236718730631297288
15281140496809307217,Genbank,Homo sapiens; sex: F; age: 7Y,15236718730631297288
11275784140516522839,Genbank,Homo sapiens; sex: M; age: 18Y,15236718730631297288
6765347365115236475,Genbank,Homo sapiens; sex: F; age: 4Y,15236718730631297288
196840360386947213,Genbank,Homo sapiens; sex: M; age: 5Y,15236718730631297288
7965742889794261326,Genbank,Homo sapiens; sex: M; age: 11Y,15236718730631297288
3654702902668602055,Genbank,Homo sapiens; sex: F; age: 20Y,15236718730631297288
18027949037296295836,Genbank,Homo sapiens; sex: F; age: 29Y,15236718730631297288
2035526863620390215,Genbank,Homo sapiens; sex: F; age: 3Y,15236718730631297288
1547399661051698642,Genbank,Homo sapiens; sex: F; age: 21Y,15236718730631297288
7523351817792930716,Genbank,Homo sapiens; sex: F; age: 15Y,15236718730631297288
11933435679279169124,Genbank,Homo sapiens; sex: M; age: 7Y,15236718730631297288
3766129383925289296,Genbank,Homo sapiens; sex: M; age: 6Y,15236718730631297288
12083132111468010720,Genbank,Homo sapiens; sex: M; age: 20Y,15236718730631297288
2345843295128736985,Genbank,Homo sapiens; sex: M; age: 25Y,15236718730631297288
1635775798806795314,Genbank,Homo sapiens; sex: F; age: 10Y,15236718730631297288
8357459873170395313,Genbank,Homo sapiens; sex: F; age: 11Y,15236718730631297288
15720570522695637711,Genbank,Homo sapiens; sex: M; age: 9Y,15236718730631297288
11350085656698104512,Genbank,Homo sapiens; sex: F; age: 48Y,15236718730631297288
11776752426908859395,Genbank,Homo sapiens; sex: F; age: 27Y,15236718730631297288
2896630520019200281,Genbank,Homo sapiens; sex: F; age: 32Y,15236718730631297288
2429755893841412068,Genbank,Homo sapiens; sex: M; age: 19Y,15236718730631297288
14626965687610834983,Genbank,Homo sapiens; sex: M; age: 34Y,15236718730631297288
11003443280983477955,Genbank,Homo sapiens; sex: F; age: 6Y,15236718730631297288
5783263858812354292,Genbank,Homo sapiens; sex: M; age: 21Y,15236718730631297288
17235825383515629179,Genbank,Homo sapiens; sex: M; age: 43Y,15236718730631297288
3183316570216402769,Genbank,Homo sapiens; sex: M; age: 12Y,15236718730631297288
10264604394322028818,Genbank,Homo sapiens; sex: M; age: 17Y,15236718730631297288
4654834783133866766,Genbank,Homo sapiens; sex: F; age: 18Y,15236718730631297288
12375715599691198733,Genbank,Homo sapiens; sex: M; age: 50Y,15236718730631297288
13061689070611829374,Genbank,Homo sapiens; sex: F; age: 43Y,15236718730631297288
10125003657055094842,Genbank,Homo sapiens; sex: M; age: 15Y,15236718730631297288
2896121592827296997,Genbank,Homo sapiens; sex: F; age: 19Y,15236718730631297288
15150873785980991479,Genbank,Homo sapiens; sex: M; age: 8Y,15236718730631297288
1415184133940457189,Genbank,Homo sapiens; sex: F; age: 9Y,15236718730631297288
11998733522949005461,Genbank,Homo sapiens; sex: M; age: 35Y,15236718730631297288
17241072413890674378,Genbank,Homo sapiens; sex: F; age: 13Y,15236718730631297288
9016541968761683434,Genbank,Homo sapiens; F; 2M,15236718730631297288
7833118146511555767,Genbank,Homo sapiens; sex: F,15236718730631297288
911216701650099914,Genbank,Homo sapiens; sex: M,15236718730631297288
3409455608652452899,Genbank,camelus dromedarius,2450857368294566252
925981672686029530,Genbank,Pan troglodytes verus,6390226851006739506
3265798027577457984,Genbank,Rousettus sp.,8755153231162669563
13792618245198124757,Genbank,swine,
1976196196326285114,Genbank,white-tailed deer,
8291169918055812528,Genbank,Mustela putorius furo (ferret),15289463215514944982
7039622449237488174,Genbank,Homo sapiens; sex:M; age:34Y,15236718730631297288
12029241766590743001,Genbank,Homo sapiens; sex:F; age:15Y,15236718730631297288
17832946360300350360,Genbank,Rattus sp.,6933196425754321417
17107312290503097315,Genbank,alpaca,
8279749587466146912,Genbank,Bubalus bubalis,6974027370224897847
9088075171832774537,Genbank,Erinaceus europaeus,13337880784824644145
877043769356859884,Genbank,Homo sapiens; cell line Vero p2,17021704621061890107
8989398148047609815,Genbank,Hypsugo savii,926325113831622981
13799625975001059943,Genbank,Hipposideros commersoni,9183359991522703136
15585105762218448183,Genbank,bat BF_506I,
14368842688069125866,Genbank,bat BF_258I,
13556479162396038305,Genbank,Rhinolophus monoceros,13756339330631229571
6256945008293478814,Genbank,Rhinolophus rex,12121329666640043608
11436233830780107455,Genbank,Suncus murinus,14490434882770088295
15421128409728843491,Genbank,Apodemus chevrieri,11141121702516692924
13781166960518121443,Genbank,Felis catus (cat),17500025009072997685
16202437396475034979,Genbank,Rattus losea,16641637625697154679
3921685233017502106,Genbank,Rattus tanezumi,6202050038515583751
16432106823391742836,Genbank,Rattus norvegicus,3938312735928470635
12890115502684924370,Genbank,Mustela putorius furo,15289463215514944982
2025309443576092782,Genbank,Pipistrellus kuhlii,12307384853194238513
14035931904574249735,Genbank,Niviventer confucianus,3932230261418657718
5279451307361107516,Genbank,Apodemus agrarius,9715253923987767688
6676880443473368818,Genbank,Homo sapiens; age: 2 months; sex: male,17021704621061890107
12898513359126645379,Genbank,Homo sapiens; sex: M; age: 16Y,15236718730631297288
3510357363181002735,Genbank,giant panda,
4678377334228820300,Genbank,Myotis davidii,12915093090529364221
10200173269363583963,Genbank,Miniopterus schreibersii,5199393673368160755
17820237579441474778,Genbank,Murina leucogaster,10911318611350321684
77799970755613697,Genbank,Pipistrellus cf. hesperidus,14991177508256766113
4724633565991054968,Genbank,Miniopterus spp.,10593643822463405092
643430011399077913,Genbank,Camelus dromedarius (camel),2450857368294566252
9127186094203642188,Genbank,goat,
2133030114514201452,Genbank,Bovidae,6723009671609849344
1600754512360041115,Genbank,domestic donkey,
4927175761681473798,Genbank,Microchiroptera,
11874212114839286145,Genbank,Rousettus aegyptiacus,6335099436859279378
17582573993146512197,Genbank,Scotophilus kuhlii,5686926926842332270
16992737740463300600,Genbank,Pipistrellus coromandra,5351062899566437610
11613935172897180540,Genbank,Macroglossus sp.,8909255670646933250
17689807002463327994,Genbank,Miniopterus magnater,4789469617780906210
2742408327198336503,Genbank,Pipistrellus pipistrellus,5270549950094808986
15585039006387995863,Genbank,Hipposideros pratti,8693329198422119433
15129553034852606905,Genbank,Tylonycteris pachypus,4372241402583008260
2701943327714072130,Genbank,Miniopterus fuliginosus,15070745585227743505
238367535075232659,Genbank,Eidolon helvum,5656967653139552257
9150417363144446540,Genbank,Hipposideros larvatus,14140104799522716417
12560210064274952259,Genbank,Eonycteris spelaea,8797003870257218225
9495063194707124555,Genbank,Rousettus amplexicaudatus,16463476002226016793
12603360940736394930,Genbank,Rousettus leschenaultii,2690714490265037560
8815083638544207113,Genbank,Rousettus leschenaulti,11526475832404428424
3848099075498054541,Genbank,cattle,
1950977895590058374,Genbank,Meleagris gallopavo,12598098096389393917
17819742597287536820,Genbank,Horse,
709459710111180977,Genbank,Donkey,
13276458626823105473,Genbank,yak,
16844956750886736656,Genbank,guinea fowl,13933262663562513268
12595063765137987705,Genbank,calf,
10729919515098441856,Genbank,Calidris fuscicollis,16972462696132634602
1994204284681930657,Genbank,Calidris alba,16516072752350628755
5053667096333313256,Genbank,buffalo,
10605926949230241274,Genbank,dog (pit bull puppy),
18161884515681150535,Genbank,dog (island mix puppy),
10410840245541966380,Genbank,dog (mixed breed puppy),
2369223643216265294,Genbank,Canis mesomelas (silver-backed jackal),7615899509037412344
