id,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
8771305526260910390,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis,1,44,359,1459,3240723,4265090,4265092
8879218154066041335,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus,1,44,359,1459,3240723,4265090,4265094
586852358352185992,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix sanborni,1,44,359,1459,3240723,4265090,4265091
5154710436790680009,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,1,44,359,732,9703,2435269,2435270
18127478541150164072,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,44,359,731,9614,2441143,2441144
11680597198182487154,Animalia,Chordata,Mammalia,Rodentia,Muridae,Aethomys,Aethomys kaiseri,1,44,359,1459,5510,2438166,2438175
1235300920724739692,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micaelamys,Micaelamys namaquensis,1,44,359,1459,5510,4264921,4264922
16187825895312331497,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon azarae,1,44,359,1459,3240723,7791043,2437878
11377997853657563664,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon montensis,1,44,359,1459,3240723,7791043,4265083
17820151045139656863,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon paranaensis,1,44,359,1459,3240723,7791043,4265088
1117528755368937256,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon simulator,1,44,359,1459,3240723,7791043,2437887
4474808638671060814,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon varius,1,44,359,1459,3240723,7791043,2437922
11422104635933040709,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,1,44,359,731,9614,2441202,5220185
5263007676184540049,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces,1,44,359,731,5298,7816758,2440940
188461049287790532,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Allenopithecus,Allenopithecus nigroviridis,1,44,359,798,9622,2436619,2436620
3796143190624467233,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes lagopus,1,44,359,732,9701,5219234,5219303
14805256705048615415,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta caraya,1,44,359,798,3239607,2436647,2436652
16149956091994529018,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta palliata,1,44,359,798,3239607,2436647,2436649
5162777604695975922,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta pigra,1,44,359,798,3239607,2436647,2436653
11642049301466603247,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta seniculus,1,44,359,798,3239607,2436647,2436648
14393703972335689642,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus nelsoni,1,44,359,1459,9456,2437567,2437569
6484439422649954300,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus,Ammotragus lervia,1,44,359,731,9614,2441004,2441005
13365226559065138197,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi,1,44,359,734,9366,5963037,5963041
1212618465755943890,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,1,44,359,731,9614,2441063,2441064
5961284787190701533,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,1,44,359,731,5715,2440901,2440902
1984809703629316880,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,Antilope cervicapra,1,44,359,731,9614,2440900,2441065
15237296335166346913,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous pallidus,1,44,359,734,9368,2432337,2432339
12465396816284029156,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus azarae,1,44,359,798,3239574,2436667,5707409
10573652787245502644,Animalia,Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus trivirgatus,1,44,359,798,3239574,2436667,5219590
9715253923987767688,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus agrarius,1,44,359,1459,5510,2437754,2437761
11062607128662716247,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus argenteus,1,44,359,1459,5510,2437754,5219736
3071376991190430925,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus flavicollis,1,44,359,1459,5510,2437754,2437756
4737156246522303875,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus mystacinus,1,44,359,1459,5510,2437754,2437773
