id,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
8771305526260910390,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis,1,44,359,1459,3240723,4265090,4265092
8879218154066041335,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus,1,44,359,1459,3240723,4265090,4265094
586852358352185992,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix sanborni,1,44,359,1459,3240723,4265090,4265091
5154710436790680009,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,1,44,359,732,9703,2435269,2435270
18127478541150164072,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,44,359,731,9614,2441143,2441144
11680597198182487154,Animalia,Chordata,Mammalia,Rodentia,Muridae,Aethomys,Aethomys kaiseri,1,44,359,1459,5510,2438166,2438175
535855911737221896,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Agamia,Agamia agami,1,44,212,7190953,3685,2480835,2480836
16187825895312331497,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon azarae,1,44,359,1459,3240723,7791043,2437878
11377997853657563664,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon montensis,1,44,359,1459,3240723,7791043,4265083
17820151045139656863,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon paranaensis,1,44,359,1459,3240723,7791043,4265088
1117528755368937256,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon simulator,1,44,359,1459,3240723,7791043,2437887
4474808638671060814,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,Akodon varius,1,44,359,1459,3240723,7791043,2437922
11422104635933040709,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,1,44,359,731,9614,2441202,5220185
5263007676184540049,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces,1,44,359,731,5298,7816758,2440940
7776829095865009334,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga sibirica,1,44,359,1459,9435,2439481,2439490
188461049287790532,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Allenopithecus,Allenopithecus nigroviridis,1,44,359,798,9622,2436619,2436620
623772013464297411,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Allochrocebus,Allochrocebus lhoesti,1,44,359,798,9622,8307483,7416027
4139862623718324802,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Allochrocebus,Allochrocebus solatus,1,44,359,798,9622,8307483,7583919
14805256705048615415,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta caraya,1,44,359,798,3239607,2436647,2436652
16149956091994529018,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta palliata,1,44,359,798,3239607,2436647,2436649
5162777604695975922,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta pigra,1,44,359,798,3239607,2436647,2436653
11642049301466603247,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,Alouatta seniculus,1,44,359,798,3239607,2436647,2436648
14517484712212458369,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona vinacea,1,44,212,1445,9340,2479603,2479617
17886161970998606321,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona viridigenalis,1,44,212,1445,9340,2479603,2479665
14393703972335689642,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus nelsoni,1,44,359,1459,9456,2437567,2437569
6484439422649954300,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus,Ammotragus lervia,1,44,359,731,9614,2441004,2441005
4186062889369206127,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,1,44,212,1108,2986,2498056,9761484
4292496249081553539,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas crecca,1,44,212,1108,2986,2498056,8214667
62803372857374484,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,1,44,212,1108,2986,2498056,
15461985480997714256,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas penelope,1,44,212,1108,2986,2498056,2498111
1174298220234719796,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas clypeata,1,44,212,1108,2986,2498056,2498089
8393909784067690565,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas acuta,1,44,212,1108,2986,2498056,2498112
15110044925400724942,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas americana,1,44,212,1108,2986,2498056,2498154
16724390077040609626,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas bahamensis,1,44,212,1108,2986,2498056,2498090
