origin,host_class,host_order,host_family,host_genus,host_species,virus_genus
Genbank,Mammalia,Carnivora,Felidae,Felis,Felis catus,Alphacoronavirus
Genbank,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Alphacoronavirus
Genbank,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Pteropodidae,Rousettus,Rousettus aegyptiacus,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros vittatus,Alphacoronavirus
Genbank,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus
Genbank,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus
Genbank,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,Alphacoronavirus
Genbank,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,Alphacoronavirus
Genbank,Mammalia,Carnivora,Mustelidae,Neovison,Neovison vison,Alphacoronavirus
Genbank,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus magnater,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis ricketti,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus plancyi,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus coromandra,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis horsfieldii,Alphacoronavirus
HP3,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus rex,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros pratti,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Alphacoronavirus
Genbank,Mammalia,Carnivora,Canidae,Canis,Canis mesomelas,Alphacoronavirus
Genbank,Mammalia,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,Alphacoronavirus
Genbank,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,Alphacoronavirus
Genbank,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,Alphacoronavirus
Genbank,Mammalia,Carnivora,Mustelidae,Melogale,Melogale moschata,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus giganteus,Alphacoronavirus
Genbank,Mammalia,Soricomorpha,Soricidae,Suncus,Suncus murinus,Alphacoronavirus
Genbank,Mammalia,Rodentia,Muridae,Apodemus,Apodemus chevrieri,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis davidii,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Vespertilionidae,Murina,Murina leucogaster,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros larvatus,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Molossidae,Chaerephon,Chaerephon pumilus,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus inflatus,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus natalensis,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Mystacinidae,Mystacina,Mystacina tuberculata,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros diadema,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros bicolor,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros gigas,Alphacoronavirus
Genbank,Mammalia,Chiroptera,Hipposideridae,Triaenops,Triaenops persicus,Alphacoronavirus
